PLAYER_NAME,season,PLAYER_ID,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds),age,player_height,player_weight,injuries,salary
Brandon Jennings,2011,201943,7.0,16.808823529411764,1.911764705882353,5.75,2.8529411764705883,3.573529411764706,0.7794117647058824,2.6470588235294117,3.426470588235294,5.544117647058823,1.5588235294117647,0.3235294117647059,2.176470588235294,1.6911764705882353,18.764705882352942,-1.5909090909090908,476.0,1143.0,130.0,391.0,194.0,243.0,53.0,180.0,233.0,377.0,106.0,22.0,148.0,115.0,1276.0,-105.0,68,2057.9411764705883,139940.0,22.0,185.42,76.657048,8,2493720
Brandon Jennings,2012,201943,6.010869565217392,15.23913043478261,2.108695652173913,5.75,2.8369565217391304,3.4565217391304346,0.6847826086956522,2.3260869565217392,3.010869565217391,6.25,1.5543478260869565,0.13043478260869565,2.630434782608696,1.9130434782608696,16.967391304347824,-3.9047619047619047,553.0,1402.0,194.0,529.0,261.0,318.0,63.0,214.0,277.0,575.0,143.0,12.0,242.0,176.0,1561.0,-328.0,92,1978.695652173913,182040.0,23.0,185.42,76.657048,0,3179493
Brandon Jennings,2013,201943,5.2875,14.1875,1.925,5.7125,3.0125,4.0125,0.7375,2.3125,3.05,7.6125,1.2625,0.1,2.6875,1.9625,15.5125,-2.3,423.0,1135.0,154.0,457.0,241.0,321.0,59.0,185.0,244.0,609.0,101.0,8.0,215.0,157.0,1241.0,-184.0,80,2046.1,163688.0,24.0,185.42,76.657048,3,7655503
Brandon Jennings,2014,201943,4.9787234042553195,12.76595744680851,1.7659574468085106,4.957446808510638,2.851063829787234,3.3617021276595747,0.48936170212765956,2.0638297872340425,2.5531914893617023,6.723404255319149,1.0851063829787233,0.10638297872340426,2.0851063829787235,1.6170212765957446,14.574468085106384,1.851063829787234,234.0,600.0,83.0,233.0,134.0,158.0,23.0,97.0,120.0,316.0,51.0,5.0,98.0,76.0,685.0,87.0,47,1704.3191489361702,80103.0,25.0,185.42,76.657048,2,8000000
Brandon Jennings,2015,201943,2.3333333333333335,6.333333333333333,1.0625,3.2291666666666665,1.1875,1.625,0.3333333333333333,1.6666666666666667,2.0,3.5416666666666665,0.6041666666666666,0.14583333333333334,1.1875,1.1875,6.916666666666667,0.25,112.0,304.0,51.0,155.0,57.0,78.0,16.0,80.0,96.0,170.0,29.0,7.0,57.0,57.0,332.0,12.0,48,1084.3958333333333,52051.0,26.0,185.42,76.657048,3,8344497
Brandon Jennings,2016,201943,2.19,6.17,0.86,2.87,1.31,1.74,0.37,2.01,2.38,4.43,0.8,0.05,1.48,1.36,6.55,-1.06,219.0,617.0,86.0,287.0,131.0,174.0,37.0,201.0,238.0,443.0,80.0,5.0,148.0,136.0,655.0,-106.0,100,1264.12,126412.0,27.0,185.42,77.11064,1,4837318
Brandon Jennings,2016,201943,2.19,6.17,0.86,2.87,1.31,1.74,0.37,2.01,2.38,4.43,0.8,0.05,1.48,1.36,6.55,-1.06,219.0,617.0,86.0,287.0,131.0,174.0,37.0,201.0,238.0,443.0,80.0,5.0,148.0,136.0,655.0,-106.0,100,1264.12,126412.0,27.0,185.42,77.11064,1,1200000
Brandon Jennings,2017,201943,1.8,4.933333333333334,0.6,2.3333333333333335,0.8,0.8,0.3333333333333333,1.7333333333333334,2.066666666666667,2.933333333333333,0.4,0.26666666666666666,1.2666666666666666,0.7333333333333333,5.0,-4.266666666666667,27.0,74.0,9.0,35.0,12.0,12.0,5.0,26.0,31.0,44.0,6.0,4.0,19.0,11.0,75.0,-64.0,15,840.3333333333334,12605.0,28.0,185.42,77.11064,2,297169
Frank Ntilikina,2017,1628373,2.3164556962025316,6.417721518987341,0.6455696202531646,2.0253164556962027,0.6455696202531646,0.8860759493670886,0.46835443037974683,1.7848101265822784,2.2531645569620253,3.2025316455696204,0.8354430379746836,0.22784810126582278,1.6835443037974684,2.3164556962025316,5.924050632911392,-1.240506329113924,183.0,507.0,51.0,160.0,51.0,70.0,37.0,141.0,178.0,253.0,66.0,18.0,133.0,183.0,468.0,-98.0,79,1308.8354430379748,103398.0,19.0,195.58,86.18248,2,3501120
Caron Butler,2010,2406,5.833333333333333,12.916666666666666,0.9166666666666666,2.0833333333333335,2.5,3.1944444444444446,0.6944444444444444,3.4166666666666665,4.111111111111111,1.4722222222222223,0.9166666666666666,0.2777777777777778,1.7222222222222223,2.0833333333333335,15.083333333333334,5.103448275862069,210.0,465.0,33.0,75.0,90.0,115.0,25.0,123.0,148.0,53.0,33.0,10.0,62.0,75.0,543.0,148.0,36,1450.7222222222222,52226.0,31.0,200.66,103.418976,1,10561960
Caron Butler,2011,2406,4.4,10.946666666666667,1.3866666666666667,3.9466666666666668,1.32,1.64,0.64,2.8666666666666667,3.506666666666667,1.2133333333333334,0.8,0.14666666666666667,1.24,1.9733333333333334,11.506666666666666,2.493150684931507,330.0,821.0,104.0,296.0,99.0,123.0,48.0,215.0,263.0,91.0,60.0,11.0,93.0,148.0,863.0,182.0,75,1711.6666666666667,128375.0,32.0,200.66,103.418976,2,8000000
Caron Butler,2012,2406,3.89010989010989,9.10989010989011,1.5054945054945055,3.9450549450549453,0.945054945054945,1.120879120879121,0.4835164835164835,2.3076923076923075,2.791208791208791,0.945054945054945,0.6813186813186813,0.14285714285714285,0.9120879120879121,1.7362637362637363,10.23076923076923,2.4404761904761907,354.0,829.0,137.0,359.0,86.0,102.0,44.0,210.0,254.0,86.0,62.0,13.0,83.0,158.0,931.0,205.0,91,1330.1978021978023,121048.0,33.0,200.66,103.418976,6,8000000
Caron Butler,2013,2406,3.4,8.7375,1.55,4.0375,1.2,1.4375,0.425,3.4,3.825,1.3125,0.6875,0.275,1.05,2.05,9.55,-2.5945945945945947,272.0,699.0,124.0,323.0,96.0,115.0,34.0,272.0,306.0,105.0,55.0,22.0,84.0,164.0,764.0,-192.0,80,1380.3,110424.0,34.0,200.66,103.418976,16,8000000
Caron Butler,2014,2406,2.0476190476190474,5.0476190476190474,1.0595238095238095,2.8214285714285716,0.7261904761904762,0.8095238095238095,0.25,2.4047619047619047,2.6547619047619047,1.0357142857142858,0.5714285714285714,0.047619047619047616,0.6309523809523809,1.5714285714285714,5.880952380952381,-0.2857142857142857,172.0,424.0,89.0,237.0,61.0,68.0,21.0,202.0,223.0,87.0,48.0,4.0,53.0,132.0,494.0,-24.0,84,1256.357142857143,105534.0,35.0,200.66,103.418976,4,4500000
Caron Butler,2015,2406,1.3333333333333333,3.5714285714285716,0.19047619047619047,1.2857142857142858,0.5238095238095238,0.6666666666666666,0.23809523809523808,1.1904761904761905,1.4285714285714286,0.5714285714285714,0.5238095238095238,0.09523809523809523,0.3333333333333333,1.1904761904761905,3.380952380952381,-2.0476190476190474,28.0,75.0,4.0,27.0,11.0,14.0,5.0,25.0,30.0,12.0,11.0,2.0,7.0,25.0,71.0,-43.0,21,657.2857142857143,13803.0,36.0,200.66,103.418976,3,1499187
Donovan Mitchell,2017,1628378,7.709677419354839,17.78494623655914,2.3225806451612905,6.946236559139785,3.064516129032258,3.7419354838709675,0.6989247311827957,3.2795698924731185,3.978494623655914,3.7096774193548385,1.4623655913978495,0.3333333333333333,2.7419354838709675,2.7204301075268815,20.806451612903224,3.774193548387097,717.0,1654.0,216.0,646.0,285.0,348.0,65.0,305.0,370.0,345.0,136.0,31.0,255.0,253.0,1935.0,351.0,93,2020.279569892473,187886.0,21.0,190.5,97.52228000000001,1,2621280
John Lucas III,2010,101249,0.8571428571428571,2.7142857142857144,0.14285714285714285,1.2857142857142858,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,0.0,0.14285714285714285,0.42857142857142855,1.8571428571428572,-1.5,6.0,19.0,1.0,9.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,3.0,13.0,-3.0,7,91.14285714285714,638.0,28.0,180.34,74.84268,2,208264
John Lucas III,2011,101249,2.9272727272727272,7.236363636363636,1.0909090909090908,2.7818181818181817,0.5454545454545454,0.6181818181818182,0.43636363636363634,1.0727272727272728,1.509090909090909,2.1272727272727274,0.34545454545454546,0.01818181818181818,0.8727272727272727,0.8909090909090909,7.490909090909091,4.092592592592593,161.0,398.0,60.0,153.0,30.0,34.0,24.0,59.0,83.0,117.0,19.0,1.0,48.0,49.0,412.0,221.0,55,894.1636363636363,49179.0,29.0,180.34,74.84268,2,915852
John Lucas III,2012,101249,2.1739130434782608,5.507246376811594,0.9855072463768116,2.536231884057971,0.3333333333333333,0.463768115942029,0.14492753623188406,0.9565217391304348,1.1014492753623188,1.826086956521739,0.37681159420289856,0.014492753623188406,0.43478260869565216,0.8405797101449275,5.666666666666667,-1.4761904761904763,150.0,380.0,68.0,175.0,23.0,32.0,10.0,66.0,76.0,126.0,26.0,1.0,30.0,58.0,391.0,-93.0,69,720.8695652173913,49740.0,30.0,180.34,74.84268,1,1500000
John Lucas III,2013,101249,1.66,4.88,0.7,2.14,0.38,0.56,0.32,0.72,1.04,1.18,0.3,0.0,0.58,1.06,4.4,-4.0,83.0,244.0,35.0,107.0,19.0,28.0,16.0,36.0,52.0,59.0,15.0,0.0,29.0,53.0,220.0,-168.0,50,713.28,35664.0,31.0,180.34,75.296272,0,1600000
John Lucas III,2014,101249,1.9090909090909092,4.7272727272727275,0.4090909090909091,1.3181818181818181,0.22727272727272727,0.22727272727272727,0.18181818181818182,0.6363636363636364,0.8181818181818182,2.772727272727273,0.4090909090909091,0.0,0.7272727272727273,0.8181818181818182,4.454545454545454,-2.409090909090909,42.0,104.0,9.0,29.0,5.0,5.0,4.0,14.0,18.0,61.0,9.0,0.0,16.0,18.0,98.0,-53.0,22,781.0909090909091,17184.0,32.0,180.34,75.296272,4,123827
John Lucas III,2016,101249,0.875,2.875,0.5,1.25,0.5,0.5,0.0,0.25,0.25,0.375,0.375,0.0,0.5,0.125,2.75,-0.625,7.0,23.0,4.0,10.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,0.0,4.0,1.0,22.0,-5.0,8,441.5,3532.0,34.0,180.34,75.296272,3,635753
Nicolas Batum,2010,201587,4.440860215053763,9.731182795698924,1.4516129032258065,4.204301075268817,1.5376344086021505,1.8494623655913978,1.2365591397849462,2.989247311827957,4.225806451612903,1.5376344086021505,0.8602150537634409,0.6021505376344086,1.118279569892473,2.4301075268817205,11.870967741935484,0.2441860465116279,413.0,905.0,135.0,391.0,143.0,172.0,115.0,278.0,393.0,143.0,80.0,56.0,104.0,226.0,1104.0,21.0,93,1726.0430107526881,160522.0,22.0,203.2,90.7184,1,1196760
Nicolas Batum,2011,201587,4.901639344262295,10.78688524590164,1.8032786885245902,4.60655737704918,2.2131147540983607,2.639344262295082,1.3770491803278688,3.2131147540983607,4.590163934426229,1.459016393442623,0.9508196721311475,1.0327868852459017,1.5081967213114753,1.819672131147541,13.819672131147541,-1.0,299.0,658.0,110.0,281.0,135.0,161.0,84.0,196.0,280.0,89.0,58.0,63.0,92.0,111.0,843.0,-59.0,61,1762.360655737705,107504.0,23.0,203.2,90.7184,1,2155365
Nicolas Batum,2012,201587,4.8625,11.525,2.225,6.025,2.4125,2.8375,1.3375,4.175,5.5125,4.7,1.2625,1.0875,2.5625,1.825,14.3625,-1.4931506849315068,389.0,922.0,178.0,482.0,193.0,227.0,107.0,334.0,441.0,376.0,101.0,87.0,205.0,146.0,1149.0,-109.0,80,2107.425,168594.0,24.0,203.2,90.7184,5,10850000
Nicolas Batum,2013,201587,4.804123711340206,10.257731958762887,1.7938144329896908,4.927835051546392,1.865979381443299,2.3195876288659796,1.3195876288659794,6.195876288659794,7.515463917525773,5.0,0.9484536082474226,0.6494845360824743,2.515463917525773,1.8865979381443299,13.268041237113403,3.225806451612903,466.0,995.0,174.0,478.0,181.0,225.0,128.0,601.0,729.0,485.0,92.0,63.0,244.0,183.0,1287.0,300.0,97,2113.773195876289,205036.0,25.0,203.2,90.7184,1,11295250
Nicolas Batum,2014,201587,3.4074074074074074,8.654320987654321,1.4444444444444444,4.506172839506172,1.2345679012345678,1.4567901234567902,0.9135802469135802,5.08641975308642,6.0,4.765432098765432,1.0123456790123457,0.5185185185185185,1.9382716049382716,1.5555555555555556,9.493827160493828,2.5185185185185186,276.0,701.0,117.0,365.0,100.0,118.0,74.0,412.0,486.0,386.0,82.0,42.0,157.0,126.0,769.0,204.0,81,2014.283950617284,163157.0,26.0,203.2,90.7184,3,11765500
Nicolas Batum,2015,201587,5.08641975308642,12.061728395061728,1.876543209876543,5.493827160493828,2.5308641975308643,3.0,0.7407407407407407,5.209876543209877,5.950617283950617,5.296296296296297,0.8641975308641975,0.5432098765432098,2.7901234567901234,1.5432098765432098,14.580246913580247,2.0,412.0,977.0,152.0,445.0,205.0,243.0,60.0,422.0,482.0,429.0,70.0,44.0,226.0,125.0,1181.0,162.0,81,2028.0123456790122,164269.0,27.0,203.2,90.7184,5,12235750
Nicolas Batum,2016,201587,5.024390243902439,12.487804878048781,1.7439024390243902,5.195121951219512,3.0609756097560976,3.5853658536585367,0.5853658536585366,5.512195121951219,6.097560975609756,5.719512195121951,1.1097560975609757,0.3902439024390244,2.4878048780487805,1.4024390243902438,14.853658536585366,0.5609756097560976,412.0,1024.0,143.0,426.0,251.0,294.0,48.0,452.0,500.0,469.0,91.0,32.0,204.0,115.0,1218.0,46.0,82,2012.4634146341464,165022.0,28.0,203.2,90.7184,8,20869566
