TEAM_ID,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds),year,player_name,player_position,team_abbreviation,age,player_height,player_weight,draft_year,draft_round,draft_number,PLAYER_ID
1610612749,2.142857142857143,4.571428571428571,0.47619047619047616,1.2380952380952381,1.8095238095238095,2.0952380952380953,0.23809523809523808,1.2380952380952381,1.4761904761904763,2.8095238095238093,0.38095238095238093,0.23809523809523808,1.1904761904761905,0.6190476190476191,6.571428571428571,-0.047619047619047616,45.0,96.0,10.0,26.0,38.0,44.0,5.0,26.0,31.0,59.0,8.0,5.0,25.0,13.0,138.0,-1.0,21,953.9047619047619,20032.0,2020,Jeff Teague,PG,MIL,33.0,190.5,88.45044,2009,1,19,201952
1610612754,3.9054054054054053,7.081081081081081,0.20270270270270271,0.6891891891891891,0.47297297297297297,0.6891891891891891,0.8108108108108109,2.8783783783783785,3.689189189189189,6.5,1.8513513513513513,0.3108108108108108,1.9594594594594594,1.7162162162162162,8.486486486486486,0.24324324324324326,289.0,524.0,15.0,51.0,35.0,51.0,60.0,213.0,273.0,481.0,137.0,23.0,145.0,127.0,628.0,18.0,74,1542.5675675675675,114150.0,2020,T.J. McConnell,PG,IND,29.0,185.42,86.18248,2015,0,Undrafted,204456
1610612740,1.1428571428571428,2.857142857142857,0.6190476190476191,1.5238095238095237,0.5238095238095238,0.8095238095238095,0.9523809523809523,1.619047619047619,2.5714285714285716,0.5238095238095238,0.42857142857142855,0.38095238095238093,0.7142857142857143,1.5238095238095237,3.4285714285714284,0.09523809523809523,24.0,60.0,13.0,32.0,11.0,17.0,20.0,34.0,54.0,11.0,9.0,8.0,15.0,32.0,72.0,2.0,21,688.1428571428571,14451.0,2020,Wenyen Gabriel,F,NOP,24.0,205.74,92.98635999999999,Undrafted,Undrafted,Undrafted,1629117
1610612741,4.043478260869565,7.739130434782608,0.6956521739130435,2.4782608695652173,1.2173913043478262,1.8695652173913044,1.6956521739130435,4.217391304347826,5.913043478260869,1.7826086956521738,0.6956521739130435,0.6086956521739131,1.0869565217391304,2.0434782608695654,10.0,-4.260869565217392,93.0,178.0,16.0,57.0,28.0,43.0,39.0,97.0,136.0,41.0,16.0,14.0,25.0,47.0,230.0,-98.0,23,1496.9565217391305,34430.0,2020,Daniel Theis,F,CHI,29.0,203.2,111.13004,Undrafted,Undrafted,Undrafted,1628464
1610612756,2.269230769230769,4.8076923076923075,0.7307692307692307,1.7307692307692308,1.1538461538461537,1.5,0.2692307692307692,2.3461538461538463,2.6153846153846154,0.7307692307692307,0.4230769230769231,0.34615384615384615,0.8461538461538461,1.3846153846153846,6.423076923076923,0.6923076923076923,59.0,125.0,19.0,45.0,30.0,39.0,7.0,61.0,68.0,19.0,11.0,9.0,22.0,36.0,167.0,18.0,26,871.1153846153846,22649.0,2020,Abdel Nader,F,PHX,27.0,195.58,102.0582,2016,2,58,1627846
1610612748,3.7333333333333334,8.71111111111111,1.7777777777777777,5.6,0.7555555555555555,1.0,0.9777777777777777,5.044444444444444,6.022222222222222,2.088888888888889,0.9333333333333333,0.5777777777777777,1.2666666666666666,2.8444444444444446,10.0,1.6222222222222222,168.0,392.0,80.0,252.0,34.0,45.0,44.0,227.0,271.0,94.0,42.0,26.0,57.0,128.0,450.0,73.0,45,1598.0666666666666,71913.0,2020,Kelly Olynyk,C,HOU,30.0,210.82,108.86208,2013,1,13,203482
1610612757,5.282608695652174,12.934782608695652,2.9130434782608696,7.239130434782608,1.3695652173913044,1.826086956521739,0.45652173913043476,1.7173913043478262,2.1739130434782608,1.4782608695652173,0.9347826086956522,0.13043478260869565,0.717391304347826,1.565217391304348,14.847826086956522,-1.1521739130434783,243.0,595.0,134.0,333.0,63.0,84.0,21.0,79.0,100.0,68.0,43.0,6.0,33.0,72.0,683.0,-53.0,46,1836.3478260869565,84472.0,2020,Gary Trent Jr.,G,TOR,22.0,195.58,94.800728,2018,2,37,1629018
1610612742,2.5894736842105264,4.705263157894737,0.0,0.010526315789473684,1.3157894736842106,1.768421052631579,2.5157894736842104,4.389473684210526,6.905263157894737,0.4631578947368421,0.5052631578947369,1.263157894736842,1.1578947368421053,2.642105263157895,6.494736842105263,-0.12643678160919541,246.0,447.0,0.0,1.0,125.0,168.0,239.0,417.0,656.0,44.0,48.0,120.0,110.0,251.0,617.0,-11.0,95,1106.042105263158,105074.0,2013,Samuel Dalembert,C,DAL,34.0,210.82,113.398,2001,1,26,2223
1610612742,1.6774193548387097,3.849462365591398,0.6236559139784946,1.8709677419354838,0.5698924731182796,0.7849462365591398,0.5698924731182796,1.8387096774193548,2.4086021505376345,0.8064516129032258,0.7204301075268817,0.25806451612903225,0.5161290322580645,1.3870967741935485,4.548387096774194,2.9176470588235293,156.0,358.0,58.0,174.0,53.0,73.0,53.0,171.0,224.0,75.0,67.0,24.0,48.0,129.0,423.0,248.0,93,862.9247311827957,80252.0,2013,Jae Crowder,SF,DAL,23.0,198.12,106.59411999999999,2012,2,34,203109
1610612763,2.5,6.2023809523809526,0.25,0.8809523809523809,0.40476190476190477,0.7142857142857143,0.42857142857142855,2.511904761904762,2.9404761904761907,1.5119047619047619,0.47619047619047616,0.2261904761904762,0.5357142857142857,0.8452380952380952,5.654761904761905,0.26506024096385544,210.0,521.0,21.0,74.0,34.0,60.0,36.0,211.0,247.0,127.0,40.0,19.0,45.0,71.0,475.0,22.0,84,1472.345238095238,123677.0,2013,Tayshaun Prince,SF,MEM,34.0,205.74,97.52228000000001,2002,1,23,2419
